Award Show,Category,Rank,Nominee,Original Vote Option,Fixed Public Votes,Official Result,PDF Page,Public Status,Total Public Votes In Category,Total Counted Responses,Notes
Dancer’s Choice Awards — August 2023,Best Trickster,1,Kid Smoove,Kid Smoove,44,official_winner,1,official_pdf_category,132,132,
Dancer’s Choice Awards — August 2023,Best Trickster,2,Richie Rich,Richie Rich,30,nominee,,official_pdf_category,132,132,
Dancer’s Choice Awards — August 2023,Best Trickster,3,Larry Smoove,Larry Smoove,25,nominee,,official_pdf_category,132,132,
Dancer’s Choice Awards — August 2023,Best Trickster,4,FLii BOOGiiE,FLii BOOGiiE,24,nominee,,official_pdf_category,132,132,
Dancer’s Choice Awards — August 2023,Best Trickster,5,D Astro,D Astro,9,nominee,,official_pdf_category,132,132,
Dancer’s Choice Awards — August 2023,Best Hat Tricker,1,Kid Smoove,Kid Smoove,44,official_winner,2,official_pdf_category,133,133,
Dancer’s Choice Awards — August 2023,Best Hat Tricker,2,40 Pounds,40 Pounds,35,nominee,,official_pdf_category,133,133,
Dancer’s Choice Awards — August 2023,Best Hat Tricker,3,Kid The Wiz,Kid The Wiz,27,nominee,,official_pdf_category,133,133,
Dancer’s Choice Awards — August 2023,Best Hat Tricker,4,Larry Smoove,Larry Smoove,20,nominee,,official_pdf_category,133,133,
Dancer’s Choice Awards — August 2023,Best Hat Tricker,5,Kid Star,Kid Star,7,nominee,,official_pdf_category,133,133,
Dancer’s Choice Awards — August 2023,Best Shoe Tricker,1,D Astro,D Astro,30,official_winner,3,official_pdf_category,133,133,Fixed public count adjusted to match PDF winner.
Dancer’s Choice Awards — August 2023,Best Shoe Tricker,2,E Solo,E Solo,29,nominee,,official_pdf_category,133,133,Fixed public count adjusted to match PDF winner.
Dancer’s Choice Awards — August 2023,Best Shoe Tricker,2,Kid Smoove,Kid Smoove,29,nominee,,official_pdf_category,133,133,Fixed public count adjusted to match PDF winner.
Dancer’s Choice Awards — August 2023,Best Shoe Tricker,4,Matt Live,Matt Live,25,nominee,,official_pdf_category,133,133,Fixed public count adjusted to match PDF winner.
Dancer’s Choice Awards — August 2023,Best Shoe Tricker,5,Richie Rich,Richie Rich,20,nominee,,official_pdf_category,133,133,Fixed public count adjusted to match PDF winner.
Dancer’s Choice Awards — August 2023,Best Footwork,1,Kid Smoove,Kid Smoove,45,official_winner,4,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,2,K Slic,K Slic,34,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,3,40 Pounds,40 Pounds,32,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,4,D Rillz,D Rillz,10,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,5,Radar,Radar,9,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,6,Mok Lite,Mok lite,1,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Footwork,6,Noahlot,Noahlot,1,nominee,,official_pdf_category,132,133,
Dancer’s Choice Awards — August 2023,Best Battle Moment,1,Noahlot - Red Bull,Noahlot (Red Bull),70,official_winner,5,official_pdf_category,133,133,
